City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
934,Aripuana,broken clouds,74.17,-9.1667,-60.6333,
941,Palmares Do Sul,overcast clouds,74.17,-30.2578,-50.5097,Restaurante e Pensão Lopes
944,Chau Doc,broken clouds,82.65,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
945,Jardim,few clouds,74.3,-21.4803,-56.1381,Estancia Hotel - Jardim MS
946,Biak,overcast clouds,83.01,-0.9131,122.8766,Penginapan Kim
947,Hilton Head Island,moderate rain,60.01,32.2163,-80.7526,Disney’s Hilton Head Island Resort
950,Villa Carlos Paz,light rain,61.0,-31.4241,-64.4978,Monte Carlo
951,Cabo San Lucas,scattered clouds,68.0,22.8909,-109.9124,Hotel Tesoro Los Cabos
952,Atar,overcast clouds,68.18,20.5169,-13.0499,Oumou Elghoura
953,Fukue,light rain,60.8,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
960,Luganville,overcast clouds,80.6,-15.5333,167.1667,The Espiritu Hotel
963,Beboto,clear sky,71.62,8.2668,16.939,
965,Bambari,few clouds,69.33,5.768,20.6757,Hotel-Restaurant BIBICH
966,Sulangan,overcast clouds,80.15,11.1373,123.7228,Maia's Beach Resort
967,Isangel,broken clouds,82.4,-19.55,169.2667,Volcano Sea View Tree House
968,Mbandaka,overcast clouds,72.43,0.0487,18.2603,Guest House Epervier
969,Tuatapere,broken clouds,65.71,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
973,Victoria,scattered clouds,73.0,22.2855,114.1577,Mini Hotel Central
975,Adre,clear sky,62.98,13.4667,22.2,
976,Abeche,clear sky,69.03,13.8292,20.8324,Assaleh Hamdan Haroune
977,Vanimo,light rain,77.72,-2.6741,141.3028,Vahmoneh Lodge Vanimo
978,The Valley,few clouds,78.8,18.217,-63.0578,CeBlue Villas & Beach Resort
979,Umm Lajj,clear sky,70.14,25.0213,37.2685,Moon light Furnished Units
981,Ikom,scattered clouds,72.97,5.9667,8.7063,Reho Farm & Resort
985,Linhares,broken clouds,71.6,-19.3911,-40.0722,Hotel Conceição
987,Boende,clear sky,71.1,-0.2167,20.8667,
989,Adrar,broken clouds,64.6,20.5022,-10.0711,
990,Anito,broken clouds,79.05,12.4497,125.2886,The Yellow House
991,Kindu,light rain,68.95,-2.95,25.95,Résidence Okanda
992,Ialibu,overcast clouds,64.54,-6.2821,143.9935,Eastwood Guesthouse
993,Sechura,scattered clouds,75.88,-5.5569,-80.8222,Hospedaje Costa Bella
994,Alofi,light rain,80.6,-19.0595,-169.9187,Taloa Heights
996,Guantanamo,few clouds,78.01,20.1444,-75.2092,Hotel Marti
999,Nilanga,clear sky,70.57,18.1,76.7667,जाधव
1000,Coihueco,overcast clouds,60.8,-36.6167,-71.8333,Frutillares Coihueco
1001,Hambantota,few clouds,77.0,6.1241,81.1185,Bungalow 63
1003,Karratha,overcast clouds,82.17,-20.7377,116.8463,ibis Styles Karratha
1007,Lorica,broken clouds,78.21,9.2365,-75.8135,Hostal Raíces del Sabor
1008,Savannah Bight,clear sky,77.0,16.45,-85.85,Villa on Dunbar Rock
1009,Pisco,clear sky,70.0,-13.7,-76.2167,Hotel San Isidro Oficial
1011,Meiganga,clear sky,65.46,6.5167,14.3,DFR HOUSE
1016,Jeremie,clear sky,75.43,18.65,-74.1167,Auberge’Inn
1023,Nguruka,overcast clouds,65.32,-5.1092,31.0419,
1025,Ahipara,clear sky,71.02,-35.1667,173.1667,Ahipara Holiday Park
1027,Armidale,few clouds,77.4,-30.5167,151.65,Abbotsleigh Motor Inn
1028,Brokopondo,overcast clouds,75.85,4.75,-55.1667,Matu Island
1030,Padang,overcast clouds,83.77,-0.9492,100.3543,Mercure Padang
1032,Sinnamary,overcast clouds,77.59,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1033,Olinda,scattered clouds,78.8,-8.0089,-34.8553,Flat Quatro Rodas Olinda
1039,Yanam,mist,75.2,16.7333,82.2167,The Regency Hotel
1041,Ratnagiri,few clouds,77.9,16.9833,73.3,Hotel Landmark
1044,Whyalla,scattered clouds,71.6,-33.0333,137.5833,Foreshore Motor Inn
1047,Singaraja,overcast clouds,84.69,-8.112,115.0882,Puri Bagus Lovina Resort
1048,Faanui,light rain,81.01,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
