City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Lisakovsk,52.5369,62.4936,14.72,97,38,10.63,KZ,2021-01-27 22:50:43
205,Ust-Karsk,52.7011,118.8077,-22.63,82,98,1.48,RU,2021-01-27 22:50:44
206,Djambala,-2.5447,14.7533,67.42,89,94,1.14,CG,2021-01-27 22:50:44
207,Tazovskiy,67.4667,78.7,-37.79,82,2,3.4,RU,2021-01-27 22:50:45
208,Kenitra,34.261,-6.5802,60.8,94,40,6.91,MA,2021-01-27 22:50:45
209,Port Blair,11.6667,92.75,78.3,83,94,10.67,IN,2021-01-27 22:50:45
210,Maceio,-9.6658,-35.7353,75.2,88,75,4.61,BR,2021-01-27 22:46:04
211,Lompoc,34.6391,-120.4579,53.6,87,90,16.11,US,2021-01-27 22:50:45
212,Shingu,33.7333,135.9833,51.73,70,88,6.96,JP,2021-01-27 22:50:46
213,Zhezkazgan,47.8043,67.7144,10.94,97,49,6.78,KZ,2021-01-27 22:50:46
214,Touros,-5.1989,-35.4608,80.6,74,20,11.5,BR,2021-01-27 22:50:46
215,Krasnoselkup,65.7,82.4667,-39.23,82,13,3.71,RU,2021-01-27 22:50:46
216,Salalah,17.0151,54.0924,69.8,68,0,3.44,OM,2021-01-27 22:50:47
217,Bafra,41.5678,35.9069,66.2,20,75,17.27,TR,2021-01-27 22:50:47
218,Gizo,-8.103,156.8419,85.59,72,93,11.97,SB,2021-01-27 22:50:48
219,Iquitos,-3.7481,-73.2472,89.6,62,40,2.3,PE,2021-01-27 22:48:37
220,Dobryatino,55.5055,41.3195,34.36,98,100,7.16,RU,2021-01-27 22:50:49
221,Richards Bay,-28.783,32.0377,73.4,95,100,9.4,ZA,2021-01-27 22:50:49
222,Coquimbo,-29.9533,-71.3436,64.4,72,0,12.66,CL,2021-01-27 22:46:29
223,Chagoda,59.164,35.3285,21.34,98,58,3.58,RU,2021-01-27 22:50:49
224,Ipixuna,-1.7625,-48.8043,80.6,83,40,6.91,BR,2021-01-27 22:50:37
225,Tezu,27.9167,96.1667,56.64,33,0,4.43,IN,2021-01-27 22:50:49
226,Lavrentiya,65.5833,-171.0,-0.2,88,98,17.13,RU,2021-01-27 22:50:49
227,Mustafakemalpasa,40.0353,28.4117,33.8,86,75,4.61,TR,2021-01-27 22:50:49
228,Scarborough,54.2797,-0.4044,37.99,93,100,6.42,GB,2021-01-27 22:50:50
229,Hambantota,6.1241,81.1185,74.12,76,29,12.8,LK,2021-01-27 22:50:50
230,Pacific Grove,36.6177,-121.9166,51.01,87,90,8.05,US,2021-01-27 22:49:44
231,Haines Junction,60.7522,-137.5108,-9.4,54,83,0.2,CA,2021-01-27 22:50:14
232,Storsteinnes,69.2408,19.2344,26.6,58,90,14.97,NO,2021-01-27 22:50:50
233,Bambous Virieux,-20.3428,57.7575,75.99,88,20,8.05,MU,2021-01-27 22:50:50
234,Novomyrhorod,48.7811,31.642,29.93,98,100,19.48,UA,2021-01-27 22:50:50
235,Gushikawa,26.3544,127.8686,64.4,63,75,14.97,JP,2021-01-27 22:50:51
236,Nadvoitsy,63.8667,34.3167,24.1,98,91,2.26,RU,2021-01-27 22:50:51
237,Garowe,8.4054,48.4845,62.51,79,10,8.99,SO,2021-01-27 22:50:29
238,Harlingen,26.1906,-97.6961,73.4,31,1,14.97,US,2021-01-27 22:49:22
239,Date,42.4681,140.8681,21.4,90,71,5.64,JP,2021-01-27 22:50:51
240,Mount Gambier,-37.8333,140.7667,64.4,72,35,12.66,AU,2021-01-27 22:50:51
241,Coos Bay,43.3665,-124.2179,46.4,76,90,14.92,US,2021-01-27 22:50:51
242,Khatanga,71.9667,102.5,-30.41,80,0,7.14,RU,2021-01-27 22:50:51
243,Mahebourg,-20.4081,57.7,73.4,88,20,8.05,MU,2021-01-27 22:50:51
244,Venlo,51.3667,6.1667,43.0,94,100,8.66,NL,2021-01-27 22:50:51
245,Aliwal North,-30.6937,26.7114,59.18,79,100,20.98,ZA,2021-01-27 22:50:52
246,Camana,-16.6228,-72.7111,72.19,72,64,7.09,PE,2021-01-27 22:50:52
247,Gorontalo,0.5412,123.0595,76.8,84,78,4.43,ID,2021-01-27 22:50:52
248,Homestead,25.4687,-80.4776,81.0,69,53,4.0,US,2021-01-27 22:47:57
249,Neiafu,-18.65,-173.9833,75.2,94,90,10.36,TO,2021-01-27 22:50:52
250,Samarai,-10.6167,150.6667,79.74,86,99,7.74,PG,2021-01-27 22:50:52
251,Victoria,22.2855,114.1577,63.0,84,0,1.01,HK,2021-01-27 22:46:27
252,Kropotkin,45.4375,40.5756,37.8,81,93,9.42,RU,2021-01-27 22:50:53
253,Taltal,-25.4,-70.4833,70.38,67,22,7.09,CL,2021-01-27 22:50:03
254,Karatu,-3.3333,35.6667,59.79,73,0,4.72,TZ,2021-01-27 22:50:53
255,Olafsvik,64.8945,-23.7142,30.04,87,85,15.19,IS,2021-01-27 22:50:53
256,Ancud,-41.8697,-73.8203,64.0,59,20,12.66,CL,2021-01-27 22:50:53
257,Baykit,61.67,96.37,-25.4,80,100,6.17,RU,2021-01-27 22:50:53
258,Maua,-23.6678,-46.4614,84.99,45,0,9.22,BR,2021-01-27 22:50:53
259,Huntley,42.1681,-88.4281,19.99,63,100,3.0,US,2021-01-27 22:50:53
260,Vila Franca Do Campo,37.7167,-25.4333,64.0,94,75,18.41,PT,2021-01-27 22:47:56
261,Beloha,-25.1667,45.05,76.33,82,0,10.6,MG,2021-01-27 22:50:54
262,Aykhal,66.0,111.5,-35.73,78,7,1.61,RU,2021-01-27 22:50:54
263,Pala,9.3642,14.9046,76.48,18,0,8.66,TD,2021-01-27 22:50:54
264,Madras,13.0878,80.2785,73.4,88,40,2.3,IN,2021-01-27 22:48:58
265,Ocos,14.5094,-92.1933,91.4,52,40,9.22,GT,2021-01-27 22:50:54
266,Biak,-0.9131,122.8766,78.13,74,97,4.52,ID,2021-01-27 22:50:54
267,Skjervoy,70.0311,20.9714,24.37,89,98,23.02,NO,2021-01-27 22:50:54
268,Srednekolymsk,67.45,153.6833,-26.37,85,100,12.26,RU,2021-01-27 22:50:28
269,Puerto Del Rosario,28.5004,-13.8627,64.4,68,0,6.91,ES,2021-01-27 22:50:55
270,Parana,-31.732,-60.5238,84.99,61,13,6.11,AR,2021-01-27 22:50:53
271,La Ronge,55.1001,-105.2842,-0.4,71,45,8.05,CA,2021-01-27 22:49:46
272,Bumba,2.1833,22.4667,73.2,89,100,3.71,CD,2021-01-27 22:50:55
273,Redlands,34.0556,-117.1825,61.0,29,1,3.44,US,2021-01-27 22:49:13
